gender,title,first,last,street_number,street_name,city,state,country,postcode,latitude,longitude,timezone_offset,timezone_description,email,dob_date,dob_age,phone,id_name,id_value,nationality,hotel_name,hotel_street_number,hotel_street_name,hotel_city,hotel_state,hotel_country,hotel_postcode,hotel_email,hotel_phone,hotel_website,room_number,room_type,room_type_description,room_capacity,room_nightly_rate,reservation_start_date,reservation_end_date,reservation_total_cost,payment_date,payment_type,payment_amount,transaction_id,payment_notes,rating,review_title,review_text,review_date
female,Mrs,Delia,Hannemann,5321,"Mittelstraße","Neumarkt-Sankt Veit",Rheinland-Pfalz,Germany,36418,-54.9333,116.6469,+11:00,"Magadan, Solomon Islands, New Caledonia",delia.hannemann@example.com,1999-10-03T17:04:43.505Z,24,0512-6967893,SVNR,"25 031099 H 784",DE,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,477,Deluxe,"Spacious room with upgraded furnishings",3,120,2024-01-22,2024-01-27,600,2024-01-22,Cash,300,75988290,"",2,"Majorly disappointed","The pictures online were completely misleading. The pool was tiny, the amenities were outdated, and the breakfast was inedible. ",2024-01-26
male,Mr,"Heinz Dieter",Dunker,2901,Gartenweg,Templin,"Thüringen",Germany,92109,65.6429,151.441,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",heinzdieter.dunker@example.com,1946-02-17T17:40:05.313Z,78,0668-7812421,SVNR,"54 170246 D 413",DE,"Hampton Inn Madison Square Garden Area Hotel",151,"Madison Square Garden Area",Hampton,MA,US,02138,info@hamptoninn.example,"(617) 222-2222",http://www.hamptoninn.example,134,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2023-03-02,2023-03-09,1092,2023-03-02,Cash,819,21351439,"",2,"Majorly disappointed","The pictures online were completely misleading. The pool was tiny, the amenities were outdated, and the breakfast was inedible. ",2023-03-12
male,Mr,Armando,Caldwell,3771,"Brown Terrace",Wichita,Vermont,"United States",38969,-68.6467,-64.023,-10:00,Hawaii,armando.caldwell@example.com,1971-02-22T12:49:49.167Z,53,"(498) 518-2749",SSN,506-70-7624,US,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,371,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2023-09-03,2023-09-06,2274,2023-09-03,"Bank Transfer",1137,86202663,"",3,"Mixed feelings","The location was great and the bed was comfortable, but the constant construction noise, lackluster breakfast, and unresponsive staff left a lot to be desired.",2023-09-07
male,Mr,"Håvard",Anda,7412,"Arne Garborgs plass","Rød",Nordland,Norway,6789,-79.4588,171.7499,+2:00,"Kaliningrad, South Africa",havard.anda@example.com,1948-06-27T00:06:48.157Z,75,22740795,FN,27064848505,NO,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,386,Suite,"Luxurious suite with separate living area",4,243,2023-06-19,2023-06-20,243,2023-06-19,Cash,182.25,81835362,"",2,"Majorly disappointed","The pictures online were completely misleading. The pool was tiny, the amenities were outdated, and the breakfast was inedible. ",2023-06-20
male,Mr,Reynaldo,Prieto,7706,"Periférico Hidalgo","San Luis Tehuiloyocan",Tabasco,Mexico,88002,5.3338,-176.7938,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",reynaldo.prieto@example.com,1999-05-23T19:55:17.456Z,24,"(627) 664 0296",NSS,"92 64 64 6903 3",MX,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,317,Standard,"Cozy room with essential amenities",2,85,2024-01-21,2024-01-26,425,2024-01-21,"Bank Transfer",0,99182299,"",1,"Completely unacceptable","Our room hadn't been cleaned from the previous guests, there was no hot water, and the front desk staff were completely unhelpful. Ruined our weekend getaway.",2024-01-29
female,Ms,Elli,Freudenberg,569,"Uhlandstraße",Spremberg,"Baden-Württemberg",Germany,38374,55.9044,118.3366,+4:30,Kabul,elli.freudenberg@example.com,1998-05-31T12:51:35.721Z,25,0233-0457128,SVNR,"49 310598 F 978",DE,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,453,Suite,"Luxurious suite with separate living area",4,243,2023-02-19,2023-03-05,3402,2023-02-19,Cash,850.5,74243611,"",5,"Exceeded all expectations!","From the moment we arrived, we were treated with such warmth and hospitality.  The rooms were immaculate, the views breathtaking, and the food was incredible.  We'll absolutely be back!",2023-02-20
female,Miss,Latife,"Demirbaş",2363,"Atatürk Sk",Kastamonu,"Tekirdağ",Turkey,99526,48.7217,101.7217,-3:00,"Brazil, Buenos Aires, Georgetown",latife.demirbas@example.com,1973-03-11T23:54:52.606Z,51,(972)-335-7099,"","",TR,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,394,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2024-02-16,2024-02-25,6822,2024-02-16,Cash,1705.5,32469849,"",1,"Dreadful experience, never again","The room was filthy, the staff were rude, and the noise level was unbearable.  Worst hotel stay I've ever had.",2024-02-27
female,Miss,Sandra,Fields,1977,"Lovers Ln",Jacksonville,Indiana,"United States",91011,-15.5421,-150.1251,-10:00,Hawaii,sandra.fields@example.com,1989-12-19T09:14:44.019Z,34,"(642) 309-3279",SSN,888-19-1901,US,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,309,Suite,"Luxurious suite with separate living area",4,243,2023-08-24,2023-09-05,2916,2023-08-24,"Credit Card",2187,17590853,"",3,"Mixed feelings","The location was great and the bed was comfortable, but the constant construction noise, lackluster breakfast, and unresponsive staff left a lot to be desired.",2023-08-30
male,Mr,Vilho,Ollila,9426,Suvantokatu,Joutsa,"South Karelia",Finland,52695,-87.5227,15.0425,+8:00,"Beijing, Perth, Singapore, Hong Kong",vilho.ollila@example.com,1982-02-06T02:11:41.205Z,42,06-998-394,HETU,NaNNA881undefined,FI,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,178,Standard,"Cozy room with essential amenities",2,85,2023-11-01,2023-11-11,850,2023-11-01,"Credit Card",850,42331753,"",1,"Completely unacceptable","Our room hadn't been cleaned from the previous guests, there was no hot water, and the front desk staff were completely unhelpful. Ruined our weekend getaway.",2023-11-18
female,Mrs,Suchita,Kumar,1680,"Gali Paranthe Wali",Satna,Chhattisgarh,India,43902,-40.4555,-153.929,-5:00,"Eastern Time (US & Canada), Bogota, Lima",suchita.kumar@example.com,1998-01-27T11:08:06.647Z,26,9893248403,UIDAI,622495396746,IN,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,190,Suite,"Luxurious suite with separate living area",4,243,2022-10-09,2022-10-14,1215,2022-10-09,Cash,607.5,67704072,"",4,"Luxurious and relaxing","The spa treatments were divine, the room was spacious and well-appointed, and the overall ambiance was perfect for unwinding. Highly recommended.",2022-10-10
